cq,cq_title,rows_total,rows_from_minimal_abox,error
CQ01,CQ01: What anatomical structures compose the flap?,272,4,
CQ02,CQ02: What is the size of the flap?,409,11,
CQ03,CQ03: To which vessels is the flap connected?,1,1,
CQ04,CQ04: What is the Mathes and Nahai classification of the muscle flap?,17,1,
CQ05,CQ05: What is the Nakajima24 classification of the flap?,13,8,
CQ06,"CQ06: Is the flap local, regional or distant?",6,3,
CQ07,CQ07: Is the flap pedicled or free?,6,2,
CQ08,CQ08: Is it a random pattern or an axial or perforator flap?,37,10,
CQ09,CQ09: Is it a chimeric flap?,10,1,
CQ10,"CQ10: What is the arterial flow direction, e.g. reversed flow or flow through flap?",4,2,
CQ11,"CQ11: Is it a rotational, advancement or transpositional flap?",19,3,
CQ12,CQ12: Is it an island flap?,2,1,
CQ13,CQ13: How was the insertion site prepared?,1,1,
CQ14,CQ14: Was the flap modified before harvesting?,12,2,
CQ15,CQ15: Did the flap require split-thickness skin grafting?,2,1,
CQ16,CQ16: How was vessel anastomosis performed?,13,2,
CQ17,CQ17: Did the flap fully survive?,10,5,
